
2026-04-06 12:09:43 | LOW | DELETED | C:\Users\Hemalatha\Documents\Best.txt
2026-04-06 12:09:43 | LOW | DELETED | C:\Users\Hemalatha\Documents\Cest.txt
2026-04-06 12:09:43 | LOW | DELETED | C:\Users\Hemalatha\Documents\Int.txt
2026-04-06 12:09:43 | LOW | DELETED | C:\Users\Hemalatha\Documents\IntegrityTest.txt
2026-04-06 12:09:43 | LOW | DELETED | C:\Users\Hemalatha\Documents\Tash.txt
2026-04-06 12:09:43 | LOW | DELETED | C:\Users\Hemalatha\Documents\Test.txt
2026-04-06 12:09:43 | LOW | DELETED | C:\Users\Hemalatha\Documents\voil.txt
2026-04-06 12:09:51 | LOW | DELETED | C:\Users\Hemalatha\Documents\random\test.txt
2026-04-06 12:09:51 | LOW | DELETED | C:\Users\Hemalatha\Documents\random\Textname.txt
2026-04-06 12:10:08 | LOW | CREATED | C:\Users\Hemalatha\Documents\test.txt
2026-04-06 12:10:34 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\test.txt
2026-04-06 12:10:34 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\test.txt
2026-04-06 12:10:58 | LOW | DELETED | C:\Users\Hemalatha\Documents\test.txt
2026-04-06 12:10:58 | LOW | MOVED | C:\Users\Hemalatha\Documents\test.txt -> C:\Users\Hemalatha\Documents\random\test.txt
2026-04-06 12:10:58 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\random\test.txt
2026-04-06 12:11:19 | LOW | DELETED | C:\Users\Hemalatha\Documents\random\test.txt
2026-04-06 12:22:45 | LOW | CREATED | C:\Users\Hemalatha\Documents\random\Random.txt
2026-04-06 12:22:57 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\random\Random.txt
2026-04-06 12:22:57 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\random\Random.txt
2026-04-06 12:23:22 | LOW | DELETED | C:\Users\Hemalatha\Documents\random\Random.txt
2026-04-06 12:23:22 | HIGH | CREATED | C:\Users\Hemalatha\Documents\secret.txt
2026-04-06 12:23:22 | HIGH | MODIFIED | C:\Users\Hemalatha\Documents\secret.txt
2026-04-06 12:24:37 | HIGH | CREATED | C:\Users\Hemalatha\Documents\secret\secret.txt
2026-04-06 12:24:51 | HIGH | MODIFIED | C:\Users\Hemalatha\Documents\secret\secret.txt
2026-04-06 12:24:51 | HIGH | MODIFIED | C:\Users\Hemalatha\Documents\secret\secret.txt
2026-04-06 12:25:11 | HIGH | DELETED | C:\Users\Hemalatha\Documents\secret\secret.txt
2026-04-06 12:25:11 | HIGH | MOVED | C:\Users\Hemalatha\Documents\secret\secret.txt -> C:\Users\Hemalatha\Documents\random\secret.txt
2026-04-06 12:25:11 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\random\secret.txt
2026-04-06 12:25:26 | HIGH | CREATED | C:\Users\Hemalatha\Documents\secret\secret1.txt
2026-04-06 12:25:34 | HIGH | MODIFIED | C:\Users\Hemalatha\Documents\secret\secret1.txt
2026-04-06 12:25:34 | HIGH | MODIFIED | C:\Users\Hemalatha\Documents\secret\secret1.txt
2026-04-06 12:25:51 | HIGH | DELETED | C:\Users\Hemalatha\Documents\secret\secret1.txt
2026-04-06 12:25:51 | HIGH | MOVED | C:\Users\Hemalatha\Documents\secret\secret1.txt -> C:\Users\Hemalatha\Documents\safe\secret1.txt
2026-04-06 12:25:51 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\safe\secret1.txt
2026-04-06 12:28:34 | HIGH | DELETED | C:\Users\Hemalatha\Documents\secret\policy.txt
2026-04-06 12:29:26 | LOW | DELETED | C:\Users\Hemalatha\Documents\safe\secret1.txt
2026-04-06 12:42:09 | LOW | CREATED | C:\Users\Hemalatha\Documents\Integrity.txt
2026-04-06 12:42:31 | LOW | CREATED | C:\Users\Hemalatha\Documents\Intergrity.txt
2026-04-06 12:42:32 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\Intergrity.txt
2026-04-06 12:42:54 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\Intergrity.txt
2026-04-06 12:43:09 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\Intergrity.txt
2026-04-06 12:43:09 | CRITICAL | INTEGRITY VIOLATION | C:\Users\Hemalatha\Documents\Intergrity.txt
2026-04-06 12:43:30 | LOW | DELETED | C:\Users\Hemalatha\Documents\Intergrity.txt
2026-04-06 12:57:40 | LOW | CREATED | C:\Users\Hemalatha\Documents\Voil.txt
2026-04-06 12:57:52 | LOW | MODIFIED | C:\Users\Hemalatha\Documents\Voil.txt
